"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"1993-10-01",11.7566666666667,11.7366666666667,10125.07,69.475,6.1,16.9221542521291
"1994-01-01",11.87,11.9033333333333,10232.777,69.805,5.9,17.0045125707328
"1994-04-01",11.96,11.9633333333333,10364.303,70.142,5.76666666666667,17.0511248609963
"1994-07-01",12.0033333333333,11.9933333333333,10422.141,70.546,5.36666666666667,17.0149028057343
"1994-10-01",12.09,12.07,10539.433,70.93,5.23333333333333,17.0449739179473
"1995-01-01",12.1733333333333,12.21,10589.42,71.318,4.9,17.0690896173944
"1995-04-01",12.2433333333333,12.2533333333333,10624.266,71.663,4.8,17.084595025792
"1995-07-01",12.3266666666667,12.3033333333333,10694.689,72.017,4.9,17.1163290149085
"1995-10-01",12.4133333333333,12.3966666666667,10782.951,72.365,4.86666666666667,17.1537806029618
"1996-01-01",12.5133333333333,12.5533333333333,10872.421,72.714,4.86666666666667,17.2089739710831
"1996-04-01",12.5833333333333,12.5833333333333,11041.392,73.015,4.8,17.2339017096944
"1996-07-01",12.7566666666667,12.7266666666667,11135.535,73.254,4.73333333333333,17.4142936449432
"1996-10-01",12.8333333333333,12.8166666666667,11258.169,73.646,4.46666666666667,17.425703138437
"1997-01-01",12.94,12.9833333333333,11319.212,74.084,4.66666666666667,17.4666594676313
"1997-04-01",13.02,13.0233333333333,11516.945,74.234,4.46666666666667,17.5391330118275
"1997-07-01",13.0866666666667,13.0533333333333,11650.143,74.556,4.2,17.5528014736127
"1997-10-01",13.2133333333333,13.19,11740.681,74.802,4.13333333333333,17.6644118249958
"1998-01-01",13.34,13.3866666666667,11869.712,74.912,4.1,17.8075608714225
"1998-04-01",13.4066666666667,13.4066666666667,11975.231,75.09,3.93333333333333,17.8541305988369
"1998-07-01",13.4066666666667,13.3666666666667,12107.382,75.414,3.83333333333333,17.7774241741144
"1998-10-01",13.5,13.49,12306.035,75.623,3.83333333333333,17.8517117808074
"1999-01-01",13.5666666666667,13.6066666666667,12434.656,75.902,3.73333333333333,17.8739251490958
"1999-04-01",13.6833333333333,13.68,12536.319,76.179,3.66666666666667,17.9620805383811
"1999-07-01",13.8566666666667,13.8166666666667,12695.786,76.44,3.66666666666667,18.1275074132217
"1999-10-01",13.97,13.9666666666667,12923.768,76.85,3.56666666666667,18.1782693558881
"2000-01-01",14.0666666666667,14.1166666666667,12965.481,77.373,3.46666666666667,18.1803299169822
"2000-04-01",14.18,14.1766666666667,13205.975,77.84,3.4,18.2168550873587
"2000-07-01",14.2866666666667,14.25,13217.516,78.283,3.46666666666667,18.2500244838173
"2000-10-01",14.4133333333333,14.41,13330.887,78.697,3.4,18.3149717693601
"2001-01-01",14.5,14.56,13274.505,79.179,3.46666666666667,18.3129365109436
"2001-04-01",14.5866666666667,14.5833333333333,13362.782,79.657,3.73333333333333,18.3118453703587
"2001-07-01",14.75,14.7133333333333,13278.672,79.977,3.93333333333333,18.4428023056629
"2001-10-01",14.8766666666667,14.87,13393.874,80.241,4.46666666666667,18.5399816386469
